보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,cluster_0,cluster_1,cluster_2,cluster_3
200,35.0,20.0,6.0,3,3,0,35.8399592628338,128.753424133811,413.0,86.0,56.0,243.0,1791.0,100.0,129.0,0,1,0,,-0.4060315907219683,-0.2511875801565506,1,0,0,0
100,25.0,26.44,11.0,1,4,0,35.8405656533684,128.756210997979,565.0,152.0,41.0,126.0,2047.0,47.0,173.0,1,1,0,,-0.5172579577371907,0.1438072437672589,1,0,0,0
200,32.0,33.06,24.0,2,3,0,35.8435981662031,128.74944458189,870.0,225.0,73.0,783.0,1723.0,45.0,110.0,1,1,0,,0.3428773365047505,-0.03582442509537479,0,0,1,0
100,30.0,29.75,6.0,1,3,0,35.8212824087436,128.756228377476,1695.0,68.0,117.0,163.0,2277.0,56.0,135.0,1,1,0,,-0.190253273523406,-0.08851620567632697,0,1,0,0
70,25.0,33.0,6.0,3,3,0,35.8432845895802,128.750254028479,814.0,304.0,89.0,710.0,1754.0,58.0,68.0,0,0,0,,0.39454101101176303,-0.0699077342966261,0,1,0,0
70,22.0,33.0,6.0,3,3,0,35.8434848130169,128.749400699576,860.0,224.0,71.0,776.0,1712.0,54.0,101.0,0,0,0,,0.3427118493445297,-0.04293172340760384,0,1,0,0
100,35.0,33.05,6.0,3,3,0,35.84066010522546,128.75519878373206,531.0,108.0,52.0,207.0,1969.0,62.0,124.0,1,0,0,,-0.5149520558840728,-0.09548887974665722,0,1,0,0
100,30.0,30.0,6.0,2,3,0,35.8214473669905,128.75585482681,1671.0,71.0,81.0,137.0,2239.0,58.0,131.0,1,1,0,,-0.40521729944927365,0.007878281015930877,0,1,0,0
60,21.0,20.0,7.0,2,3,0,35.8394036377066,128.759574723052,698.0,453.0,111.0,146.0,2283.0,39.0,92.0,0,1,0,,0.33585500332905643,0.46848751790507354,1,0,0,0
100,23.0,33.06,17.0,3,4,0,35.8406102004132,128.765517046792,1239.0,56.0,94.0,141.0,2834.0,65.0,125.0,1,0,0,,-0.06235994327737485,0.23674796281830307,0,1,0,0
200,30.0,33.06,6.0,2,4,0,35.8192741435723,128.748901406687,1794.0,159.0,73.0,390.0,1945.0,151.0,34.0,1,0,0,,0.10471406415585081,-0.19483205117709654,0,1,0,0
200,33.0,20.0,6.0,3,4,0,35.840091324207,128.759578183537,740.0,435.0,42.0,116.0,2309.0,83.0,58.0,1,1,0,,0.20915725945721508,0.6177490755322484,0,1,0,0
