보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,PC3,PC4,cluster
300,40.0,26.45,6.0,3,5,True,35.841507849885105,128.7583561188615,764.0,290.0,92.0,145.0,2267.0,36.0,60.0,True,True,False,,-0.2618980217316237,1.0040088503642988,-1.0218126209406293,-0.9524312016001003,0
200,35.0,23.14,6.0,3,4,False,35.8401738381707,128.756716863726,556.0,215.0,19.0,63.0,2072.0,102.0,125.0,True,True,False,,-1.0104909483591857,0.8000583268317656,-0.8330273789895384,0.343547287400666,3
200,35.0,23.14,6.0,2,4,False,35.839650927618,128.75642024702,494.0,171.0,53.0,76.0,2025.0,53.0,168.0,False,True,False,,-1.3461475058267505,0.3750646155944209,-0.08246201455602073,-0.23739966229925205,1
200,38.0,26.45,6.0,2,4,False,35.838730296104,128.755171531912,343.0,89.0,34.0,58.0,1884.0,117.0,222.0,True,True,False,,-1.5280821494799728,-0.009698166348433745,0.4412779801140397,0.8642545781870171,3
200,42.0,23.14,6.0,2,4,False,35.8391053339625,128.754777404951,359.0,35.0,85.0,102.0,1865.0,107.0,233.0,True,True,False,,-1.3166399594846325,-0.2941830603497569,1.104049285399234,0.7644632427623225,3
150,32.0,26.45,7.0,2,3,False,35.8397815652292,128.7522565321,393.0,140.0,124.0,306.0,1688.0,38.0,203.0,False,False,False,,-0.7410771765277003,-0.9364270397710823,0.5063087719696859,-0.4209365558864338,1
100,32.0,34.0,6.0,3,4,False,35.8226851105199,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,True,True,False,,1.481122513541575,-0.8017610971185254,1.9920794381346227,-0.5217639578757557,3
100,32.0,34.0,6.0,4,4,False,35.8226851105199,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,True,True,False,,1.481122513541575,-0.8017610971185254,1.9920794381346227,-0.5217639578757557,3
100,33.0,30.0,6.0,1,3,False,35.8212893435649,128.756228640919,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0,True,True,False,,-0.0650214161558119,1.3963727527578862,1.0511144268585206,-0.19057596644190514,3
100,30.0,30.0,6.0,1,3,False,35.8212893435649,128.756228640919,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0,True,True,False,,-0.0650214161558119,1.3963727527578862,1.0511144268585206,-0.19057596644190514,3
